name,birth,days,age
King William I The Conqueror,1028-09-01,"21,557",59 years 7 days
King William II Rufus,1056-06-01,"16,132",44 years 2 months 0 days
King Henry I,1068-09-01,"24,562",67 years 2 months 29 days
King Stephen,1097-06-01,"20,964",57 years 4 months 23 days
King Henry II,1133-03-05,"20,577",56 years 4 months 1 days
King Richard I The Lion Heart,1157-09-08,"15,185",41 years 6 months 27 days
King John,1166-12-24,"18,196",49 years 9 months 24 days
King Henry III,1207-10-01,"23,788",65 years 1 months 16 days
King Edward I Longshanks,1239-06-17,"24,856",68 years 19 days
King Edward II,1284-04-25,"15,853",43 years 4 months 25 days
King Edward III,1312-11-13,"23,596",64 years 7 months 6 days
King Henry IV,1366-04-04,"17,151",46 years 11 months 14 days
King Richard II,1367-01-06,"12,092",33 years 1 months 8 days
King Henry V,1387-08-09,"12,805",35 years 21 days
King Henry VI,1421-12-06,"18,063",49 years 5 months 13 days
King Edward IV,1442-04-28,"14,956",40 years 11 months 11 days
King Richard III,1452-10-02,"12,012",32 years 10 months 19 days
King Henry VII,1457-01-28,"19,075",52 years 2 months 21 days
King Edward V,1470-11-04,"4,684",12 years 9 months 27 days
King Henry VIII,1491-06-28,"20,302",55 years 7 months 0 days
Queen Mary I,1516-02-18,"15,613",42 years 8 months 29 days
Queen Elizabeth I,1533-09-07,"25,400",69 years 6 months 15 days
King Edward VI,1537-10-12,"5,746",15 years 8 months 23 days
King James I,1566-06-19,"21,466",58 years 9 months 7 days
King Charles I,1600-11-19,"17,604",48 years 2 months 11 days
King Charles II,1630-05-29,"19,977",54 years 8 months 10 days
King James II,1633-10-14,"24,798",67 years 10 months 21 days
King William III and Queen Mary II,1650-11-14,"18,741",51 years 3 months 21 days
King George I,1660-05-28,"24,484",67 years 12 days
Queen Anne,1665-02-06,"18,072",49 years 5 months 22 days
King George II,1683-10-30,"28,119",76 years 11 months 25 days
King George III,1738-06-04,"29,823",81 years 7 months 24 days
King George IV,1762-08-12,"24,789",67 years 10 months 12 days
King William IV,1765-08-21,"26,235",71 years 9 months 28 days
Queen Victoria,1819-05-24,"29,828",81 years 7 months 29 days
King Edward VII,1841-11-09,"25,014",68 years 5 months 24 days
King George V,1865-06-03,"25,797",70 years 7 months 16 days
King Edward VIII,1894-06-23,"28,463",77 years 11 months 3 days
King George VI,1895-12-14,"20,507",56 years 1 months 22 days
Queen Elizabeth II,1926-04-21,"35,204",96 years 4 months 18 days
